Date.Day,Date.Month,Date.Year,Data.Cases,Data.Deaths,Location.Country,Location.Code,,Location.Country,Death
2,1,2020,0,0,Austria,AUT,,Uruguay,61
2,1,2020,0,0,Azerbaijan,AZE,,Venezuela,810
2,1,2020,0,0,Bahrain,BHR,,Bahamas,150
2,1,2020,0,0,Belarus,BLR,,Central_African_Republic,62
2,1,2020,0,0,Belgium,BEL,,Congo,92
2,1,2020,0,0,Brazil,BRA,,Uzbekistan,577
2,1,2020,0,0,Cambodia,KHM,,Benin,43
2,1,2020,0,0,Canada,CAN,,Liberia,82
2,1,2020,0,0,Cases_on_an_international_conveyance_Japan,,,Myanmar,1330
2,1,2020,0,0,China,CHN,,Somalia,107
2,1,2020,0,0,Croatia,HRV,,United_Republic_of_Tanzania,21
2,1,2020,0,0,Czechia,CZE,,Barbados,7
2,1,2020,0,0,Denmark,DNK,,Gambia,120
2,1,2020,0,0,Dominican_Republic,DOM,,Montenegro,326
2,1,2020,0,0,Ecuador,ECU,,Djibouti,61
2,1,2020,0,0,Egypt,EGY,,El_Salvador,997
2,1,2020,0,0,Estonia,EST,,French_Polynesia,38
2,1,2020,0,0,Finland,FIN,,Guam,83
2,1,2020,0,0,France,FRA,,Kyrgyzstan,1167
2,1,2020,0,0,Georgia,GEO,,Nicaragua,156
2,1,2020,0,0,Germany,DEU,,Zambia,349
2,1,2020,0,0,Greece,GRC,,Bermuda,9
2,1,2020,0,0,Iceland,ISL,,Cayman_Islands,1
2,1,2020,0,0,India,IND,,Chad,99
2,1,2020,0,0,Indonesia,IDN,,Fiji,2
2,1,2020,0,0,Iran,IRN,,Gibraltar,0
2,1,2020,0,0,Iraq,IRQ,,Greenland,0
2,1,2020,0,0,Ireland,IRL,,Guernsey,13
2,1,2020,0,0,Israel,ISR,,Haiti,232
2,1,2020,0,0,Italy,ITA,,Jersey,32
2,1,2020,0,0,Japan,JPN,,Mauritius,10
2,1,2020,0,0,Kuwait,KWT,,Cape_Verde,95
2,1,2020,0,0,Lebanon,LBN,,Isle_of_Man,24
2,1,2020,0,0,Lithuania,LTU,,Madagascar,244
2,1,2020,0,0,Luxembourg,LUX,,Montserrat,1
2,1,2020,0,0,Malaysia,MYS,,New_Caledonia,0
2,1,2020,0,0,Mexico,MEX,,Niger,69
2,1,2020,0,0,Monaco,MCO,,Papua_New_Guinea,7
2,1,2020,0,0,Nepal,NPL,,Zimbabwe,248
2,1,2020,0,0,Netherlands,NLD,,Angola,291
2,1,2020,0,0,New_Zealand,NZL,,Eritrea,0
2,1,2020,0,0,Nigeria,NGA,,Timor_Leste,0
2,1,2020,0,0,North_Macedonia,MKD,,Uganda,117
2,1,2020,0,0,Norway,NOR,,Dominica,0
2,1,2020,0,0,Oman,OMN,,Grenada,0
2,1,2020,0,0,Pakistan,PAK,,Mozambique,95
2,1,2020,0,0,Philippines,PHL,,Syria,301
2,1,2020,0,0,Qatar,QAT,,Belize,64
2,1,2020,0,0,Romania,ROU,,United_States_Virgin_Islands,23
2,1,2020,0,0,Russia,RUS,,Laos,0
2,1,2020,0,0,San_Marino,SMR,,Libya,900
2,1,2020,0,0,Singapore,SGP,,Turks_and_Caicos_islands,6
2,1,2020,0,0,South_Korea,KOR,,Mali,137
2,1,2020,0,0,Spain,ESP,,Saint_Kitts_and_Nevis,0
2,1,2020,0,0,Sri_Lanka,LKA,,Anguilla,0
2,1,2020,0,0,Sweden,SWE,,British_Virgin_Islands,1
2,1,2020,0,0,Switzerland,CHE,,Guinea_Bissau,41
2,1,2020,0,0,Taiwan,CNG1925,,Puerto_Rico,850
2,1,2020,0,0,Thailand,THA,,Northern_Mariana_Islands,2
2,1,2020,0,0,United_Arab_Emirates,ARE,,Botswana,24
2,1,2020,0,0,United_Kingdom,GBR,,Burundi,1
2,1,2020,0,0,United_States_of_America,USA,,Sierra_Leone,74
2,1,2020,0,0,Vietnam,VNM,,"Bonaire, Saint Eustatius and Saba",3
3,1,2020,0,0,Afghanistan,AFG,,Malawi,184
3,1,2020,0,0,Algeria,DZA,,Falkland_Islands_(Malvinas),0
3,1,2020,0,0,Armenia,ARM,,South_Sudan,59
3,1,2020,0,0,Australia,AUS,,Sao_Tome_and_Principe,16
3,1,2020,0,0,Austria,AUT,,Yemen,602
3,1,2020,0,0,Azerbaijan,AZE,,Western_Sahara,1
3,1,2020,0,0,Bahrain,BHR,,Tajikistan,83
3,1,2020,0,0,Belarus,BLR,,Comoros,7
3,1,2020,0,0,Belgium,BEL,,Lesotho,44
3,1,2020,0,0,Brazil,BRA,,Solomon_Islands,0
3,1,2020,0,0,Cambodia,KHM,,Wallis_and_Futuna,0
3,1,2020,0,0,Canada,CAN,,Marshall_Islands,0
3,1,2020,0,0,Cases_on_an_international_conveyance_Japan,,,,
3,1,2020,17,0,China,CHN,,,
3,1,2020,0,0,Croatia,HRV,,,
3,1,2020,0,0,Czechia,CZE,,,
3,1,2020,0,0,Denmark,DNK,,,
3,1,2020,0,0,Dominican_Republic,DOM,,,
3,1,2020,0,0,Ecuador,ECU,,,
3,1,2020,0,0,Egypt,EGY,,,
3,1,2020,0,0,Estonia,EST,,,
3,1,2020,0,0,Finland,FIN,,,
3,1,2020,0,0,France,FRA,,,
3,1,2020,0,0,Georgia,GEO,,,
3,1,2020,0,0,Germany,DEU,,,
3,1,2020,0,0,Greece,GRC,,,
3,1,2020,0,0,Iceland,ISL,,,
3,1,2020,0,0,India,IND,,,
3,1,2020,0,0,Indonesia,IDN,,,
3,1,2020,0,0,Iran,IRN,,,
3,1,2020,0,0,Iraq,IRQ,,,
3,1,2020,0,0,Ireland,IRL,,,
3,1,2020,0,0,Israel,ISR,,,
3,1,2020,0,0,Italy,ITA,,,
3,1,2020,0,0,Japan,JPN,,,
3,1,2020,0,0,Kuwait,KWT,,,
3,1,2020,0,0,Lebanon,LBN,,,
3,1,2020,0,0,Lithuania,LTU,,,
3,1,2020,0,0,Luxembourg,LUX,,,
3,1,2020,0,0,Malaysia,MYS,,,
3,1,2020,0,0,Mexico,MEX,,,
3,1,2020,0,0,Monaco,MCO,,,
3,1,2020,0,0,Nepal,NPL,,,
3,1,2020,0,0,Netherlands,NLD,,,
3,1,2020,0,0,New_Zealand,NZL,,,
3,1,2020,0,0,Nigeria,NGA,,,
3,1,2020,0,0,North_Macedonia,MKD,,,
3,1,2020,0,0,Norway,NOR,,,
3,1,2020,0,0,Oman,OMN,,,
3,1,2020,0,0,Pakistan,PAK,,,
3,1,2020,0,0,Philippines,PHL,,,
3,1,2020,0,0,Qatar,QAT,,,
3,1,2020,0,0,Romania,ROU,,,
3,1,2020,0,0,Russia,RUS,,,
3,1,2020,0,0,San_Marino,SMR,,,
